ParticipantID,Task,Duration,Mental,Physical,Temporal,Performance,Effort,Frustration,Accept,Reject,Ignore,CognitiveError,Task perfomance error (from total 7 objectives)
P-mmtmmqf0-601rpl,1,291.807,6,6,6,6,6,6,0,0,0,5.33,0.14
P-mmtmmqf0-601rpl,2,157.688,6,6,6,6,6,6,0,0,0,5.33,0
P-mmtmmqf0-601rpl,3,435.365,6,6,6,6,6,6,0,0,0,5.33,0.14
P-mmtcmn8h-q9ywrk,1,73.238,3,3,3,9,2,3,0,0,0,2,0
P-mmtcmn8h-q9ywrk,2,76.36,2,2,2,10,3,2,3,0,0,1.67,0
P-mmtcmn8h-q9ywrk,3,92.761,2,2,2,5,7,7,2,0,0,6.33,0.29
P-mms79bmr-o8qllr,1,88.664,4,2,2,7,6,6,0,0,0,5,0
P-mms79bmr-o8qllr,2,106.948,7,5,8,7,7,9,1,1,1,6.33,0
P-mms79bmr-o8qllr,3,171.235,7,4,7,7,6,7,0,0,5,5.33,0.29
P-mmqr4wlh-arrtg4,1,639.719,7,4,6,5,7,6,0,0,0,6,0
P-mmqr4wlh-arrtg4,2,325.968,5,4,5,7,6,5,1,0,0,4.67,0
P-mmqr4wlh-arrtg4,3,620.528,6,4,6,7,5,6,1,0,0,4.67,0
P-mmqqzid6-ugnssp,1,109.371,2,1,2,9,2,2,0,0,0,1.67,0
P-mmqqzid6-ugnssp,2,91.227,3,1,3,9,2,5,1,1,1,2.67,0
P-mmqqzid6-ugnssp,3,106.453,2,1,1,10,2,9,1,0,1,3.67,0.29
P-mmur4eoy-wuwhdq,1,109.231,2,2,1,9,2,1,0,0,0,1.33,0
P-mmur4eoy-wuwhdq,2,140.265,2,2,1,9,1,3,1,2,0,1.67,0
P-mmur4eoy-wuwhdq,3,188.565,1,1,1,10,1,1,2,3,0,0.67,0
P-mmutpfbo-y4c7uu,1,327.25,1,1,1,8,2,1,0,0,0,1.67,0
P-mmutpfbo-y4c7uu,2,211.17,1,2,8,8,2,8,0,0,0,4,0
P-mmutpfbo-y4c7uu,3,341.598,2,2,1,5,6,2,0,0,0,4.33,0.14
P-mmvq1c6y-8yp859,1,219.406,4,2,3,6,4,3,0,0,0,3.67,0
P-mmvq1c6y-8yp859,2,111.551,3,2,4,5,4,3,1,0,2,4,0
P-mmvq1c6y-8yp859,3,166.42,3,2,7,5,3,4,2,0,0,4,0
P-mmvqllio-bl86fo,1,257.683,4,6,7,6,6,6,0,0,0,5.33,0
P-mmvqllio-bl86fo,2,264.755,7,8,8,6,6,6,3,0,0,5.33,0
P-mmvqllio-bl86fo,3,372.199,7,8,8,6,6,6,2,0,3,5.33,0
P-mmynjtg9-hb7nhh,1,391.872,4,5,3,9,6,6,0,0,0,4.33,0
P-mmynjtg9-hb7nhh,2,194.039,2,3,2,10,6,6,0,0,0,4,0
P-mmynjtg9-hb7nhh,3,295.542,2,3,2,9,6,6,0,0,0,4.33,0
P-mmyo6zwq-v389h3,1,116.879,6,3,6,6,6,6,0,0,0,5.33,0.14
P-mmyo6zwq-v389h3,2,178.824,6,6,6,6,6,6,0,0,0,5.33,0
P-mmyo6zwq-v389h3,3,105.398,6,6,6,6,6,6,0,0,0,5.33,0
